Eval Time,F1 Score,Expression
1.4118210999877192,0.0,"max(past_values(V27, 10))"
1.540750999993179,0.0,"mean(past_values(V5, 10))"
2.8313670000061393,0.0,"(min(past_values(V1, 10)) - max(past_values(V10, 9)))"
1.5393746999907307,0.0,"mean(past_values(V17, 6))"
2.891331300023012,0.0,"(min(past_values(V2, 8)) - min(past_values(V20, 6)))"
1.607794500014279,0.0,"mean(past_values(V19, 7))"
3.4167463000048883,0.0,"((min(past_values(V23, 5)) - mean(past_values(V4, 10))) * V23)"
1.371297100035008,0.0,"max(past_values(Amount, 5))"
1.4000897000078112,0.0,"max(past_values(V9, 9))"
1.5175803999882191,0.0,"mean(past_values(V1, 8))"
0.698329399980139,0.0,(V1 - V26)
4.312855999975,0.0,"((min(past_values(V10, 6)) + min(past_values(V24, 6))) - mean(past_values(V10, 6)))"
2.9373091000015847,0.0,"(mean(past_values(V24, 6)) - min(past_values(V2, 5)))"
4.432391999987885,0.0,"((mean(past_values(V24, 10)) * max(past_values(V2, 8))) - mean(past_values(V1, 8)))"
1.5733013999997638,0.0,"mean(past_values(V1, 6))"
1.3949935999698937,0.0,"min(past_values(V15, 10))"
1.4000897000078112,0.0,"max(past_values(V9, 9))"
1.4131093000178225,0.0,"max(past_values(V23, 8))"
0.3914939999813214,0.0,V22
0.36317859997507185,0.25,V12
7.759214400022756,0.0,"((min(past_values(V8, 8)) - max(past_values(V28, 7))) + (((V4 + V2) * mean(past_values(V23, 7))) * (max(past_values(V9, 8)) + (V13 + V1))))"
0.37799660000018775,0.0,V23
5.735774900007527,0.09523809523809523,"(((max(past_values(V7, 9)) + (V3 * V16)) * min(past_values(V9, 10))) - (((V7 - V2) + (V2 * V25)) - V3))"
1.3954828000278212,0.0,"min(past_values(V9, 10))"
1.3812329999636859,0.0,"max(past_values(V14, 5))"
2.787369600031525,0.0,"(min(past_values(V10, 8)) - min(past_values(V3, 6)))"
5.652765900013037,0.0,"((((V4 + V14) * V24) - (max(past_values(V4, 10)) * mean(past_values(V17, 6)))) - max(past_values(V25, 9)))"
3.5452594999806024,0.0,"(V21 + (mean(past_values(V15, 5)) * max(past_values(Amount, 10))))"
3.4167463000048883,0.0,"((min(past_values(V23, 5)) - mean(past_values(V4, 10))) * V23)"
1.8634631999884732,0.0,"(min(past_values(V7, 8)) + V10)"
3.4167463000048883,0.0,"((min(past_values(V23, 5)) - mean(past_values(V4, 10))) * V23)"
1.5032027999986894,0.0,"mean(past_values(V10, 5))"
5.947971899993718,0.0,"(((mean(past_values(V16, 7)) * (V18 + V27)) - ((V7 + V23) + min(past_values(V14, 5)))) + min(past_values(V2, 9)))"
1.3827459000167437,0.0,"max(past_values(V1, 5))"
1.3811473000096157,0.0,"min(past_values(V18, 10))"
4.318170299986377,0.0,"((((V24 * V24) - mean(past_values(V5, 9))) * V22) - min(past_values(V13, 9)))"
3.4167463000048883,0.0,"((min(past_values(V23, 5)) - mean(past_values(V4, 10))) * V23)"
4.114327499992214,0.0,"((max(past_values(V2, 10)) - min(past_values(V24, 9))) + min(past_values(V8, 6)))"
1.3992456999840215,0.0,"min(past_values(V15, 5))"
0.36317859997507185,0.25,V12
5.631434499984607,0.125,"(mean(past_values(V11, 10)) - ((max(past_values(V2, 5)) - max(past_values(V10, 5))) - (V3 + (V16 * V2))))"
0.3742014999734238,0.0,V28
1.384320300014224,0.0,"max(past_values(V28, 6))"
1.3785716000129469,0.0,"max(past_values(V8, 9))"
0.36617349996231496,0.16666666666666666,V10
1.3845101000042632,0.0,"min(past_values(V18, 6))"
3.211007600009907,0.0,"((min(past_values(V22, 10)) * max(past_values(V25, 9))) + V26)"
0.3720192000037059,0.0,V24
1.3766841000178829,0.0,"min(past_values(V24, 5))"
5.288945699983742,0.0,"(max(past_values(V5, 8)) - (mean(past_values(V11, 5)) + ((V22 - V15) + mean(past_values(V2, 7)))))"
1.3811473000096157,0.0,"min(past_values(V18, 10))"
3.4567431999603286,0.0,"((mean(past_values(V1, 7)) - V11) - min(past_values(V17, 9)))"
0.3704699000227265,0.0,V24
1.5696250000037253,0.0,"mean(past_values(V23, 8))"
1.4228577999747358,0.0,"min(past_values(V17, 9))"
2.342529100016691,0.0,"(V26 - (min(past_values(V23, 10)) - V20))"
5.079000400030054,0.25,"((((V23 + V28) + min(past_values(V12, 10))) * ((V17 + Amount) + V6)) + min(past_values(V21, 9)))"
1.3811473000096157,0.0,"min(past_values(V18, 10))"
1.5574899999774061,0.0,"mean(past_values(V6, 7))"
0.36317859997507185,0.25,V12
0.3832251999992877,0.0,V13
2.852872200019192,0.0,"(max(past_values(Amount, 5)) * max(past_values(V23, 5)))"
1.5661277999752201,0.0,"mean(past_values(V24, 7))"
4.843492099957075,0.0,"(mean(past_values(V15, 10)) - ((min(past_values(V5, 6)) + V21) * max(past_values(V1, 10))))"
2.960227900010068,0.0,"(mean(past_values(V7, 6)) * min(past_values(V15, 8)))"
1.8819459999795072,0.0,"(max(past_values(V13, 10)) - Amount)"
0.3732367999618873,0.0,V13
1.3927111999946646,0.0,"max(past_values(V7, 6))"
1.5105807000072673,0.0,"mean(past_values(V21, 7))"
0.357614399981685,0.25,V12
1.3811473000096157,0.0,"min(past_values(V18, 10))"
5.562815100012813,0.0,"((max(past_values(V10, 7)) * min(past_values(V19, 6))) * (min(past_values(V1, 7)) + max(past_values(V15, 8))))"
4.793631899985485,0.0,"((((V3 + V5) - (V4 * V27)) - ((V18 + V14) + (V25 + V11))) + mean(past_values(V12, 8)))"
4.8596709000412375,0.0,"((max(past_values(V14, 9)) + mean(past_values(V13, 6))) - (min(past_values(V12, 10)) - V1))"
4.149571500020102,0.0,"((min(past_values(V12, 7)) * min(past_values(V23, 8))) + min(past_values(V13, 8)))"
1.5286707999766804,0.0,"mean(past_values(V7, 8))"
1.3811473000096157,0.0,"min(past_values(V18, 10))"
4.261562000028789,0.0,"(((V2 - (V25 - V13)) - mean(past_values(V4, 8))) - min(past_values(V28, 8)))"
1.891000300005544,0.0,"(max(past_values(V25, 10)) + V7)"
